sequence,canonical_name,primary_domain_id,primary_domain,source,verified_date
34,Estimator,D04,"Commercial, Contracts & Cost",National Careers Service,2026-08-15
35,Facilities manager,D10,"Facilities, Property & Asset Operations",National Careers Service,2026-08-15
36,Fence installer,D07,Building Trades,National Careers Service,2026-08-15
37,Fire safety engineer,D02,Engineering & Technical Design,National Careers Service,2026-08-15
38,Formworker,D07,Building Trades,National Careers Service,2026-08-15
39,Furniture maker,D14,Supply Chain & Manufacturing,National Careers Service,2026-08-15
40,Gas mains layer,D12,Utilities & Networks,National Careers Service,2026-08-15
41,Gas service technician,D08,Building Services Trades,National Careers Service,2026-08-15
42,General practice surveyor,D03,"Surveying, Property & Land",National Careers Service,2026-08-15
43,Geospatial technician,D05,"Geospatial, Planning & Transport",National Careers Service,2026-08-15
44,Glazier,D07,Building Trades,National Careers Service,2026-08-15
45,Heat pump engineer,D08,Building Services Trades,National Careers Service,2026-08-15
46,Heating and ventilation engineer,D08,Building Services Trades,National Careers Service,2026-08-15
47,Heritage officer,D13,"Heritage, Conservation & Landscape",National Careers Service,2026-08-15
48,Kitchen and bathroom designer,D01,Architecture & Design,National Careers Service,2026-08-15
49,Kitchen and bathroom fitter,D07,Building Trades,National Careers Service,2026-08-15
50,Land surveyor,D03,"Surveying, Property & Land",National Careers Service,2026-08-15
51,Landscape architect,D13,"Heritage, Conservation & Landscape",National Careers Service,2026-08-15
52,Landscaper,D13,"Heritage, Conservation & Landscape",National Careers Service,2026-08-15
53,Lighting technician,D11,"Plant, Equipment & Specialist Operations",National Careers Service,2026-08-15
54,Locksmith,D08,Building Services Trades,National Careers Service,2026-08-15
55,Painter and decorator,D07,Building Trades,National Careers Service,2026-08-15
56,Pipe fitter,D08,Building Services Trades,National Careers Service,2026-08-15
57,Planning and development surveyor,D03,"Surveying, Property & Land",National Careers Service,2026-08-15
58,Plasterer,D07,Building Trades,National Careers Service,2026-08-15
59,Plumber,D08,Building Services Trades,National Careers Service,2026-08-15
60,Quantity surveyor,D04,"Commercial, Contracts & Cost",National Careers Service,2026-08-15
61,Quarry engineer,D11,"Plant, Equipment & Specialist Operations",National Careers Service,2026-08-15
62,Quarry worker,D11,"Plant, Equipment & Specialist Operations",National Careers Service,2026-08-15
63,Refrigeration and air-conditioning installer,D08,Building Services Trades,National Careers Service,2026-08-15
64,Road worker,D12,Utilities & Networks,National Careers Service,2026-08-15
65,Roofer,D07,Building Trades,National Careers Service,2026-08-15
66,Rural surveyor,D03,"Surveying, Property & Land",National Careers Service,2026-08-15
67,Scaffolder,D11,"Plant, Equipment & Specialist Operations",National Careers Service,2026-08-15
68,Security systems installer,D08,Building Services Trades,National Careers Service,2026-08-15
69,Shopfitter,D07,Building Trades,National Careers Service,2026-08-15
70,Solar panel installer,D09,Energy & Building Performance,National Careers Service,2026-08-15
71,Steel erector,D07,Building Trades,National Careers Service,2026-08-15
72,Steel fixer,D07,Building Trades,National Careers Service,2026-08-15
73,Steeplejack,D11,"Plant, Equipment & Specialist Operations",National Careers Service,2026-08-15
74,Stonemason,D13,"Heritage, Conservation & Landscape",National Careers Service,2026-08-15
75,Structural engineer,D02,Engineering & Technical Design,National Careers Service,2026-08-15
76,Surveying technician,D03,"Surveying, Property & Land",National Careers Service,2026-08-15
77,Thermal insulation engineer,D09,Energy & Building Performance,National Careers Service,2026-08-15
78,Tiler,D07,Building Trades,National Careers Service,2026-08-15
79,Town planner,D05,"Geospatial, Planning & Transport",National Careers Service,2026-08-15
80,Town planning assistant,D05,"Geospatial, Planning & Transport",National Careers Service,2026-08-15
81,Transport planner,D05,"Geospatial, Planning & Transport",National Careers Service,2026-08-15
82,Water network operative,D12,Utilities & Networks,National Careers Service,2026-08-15
83,Welder,D14,Supply Chain & Manufacturing,National Careers Service,2026-08-15
84,Wood machinist,D14,Supply Chain & Manufacturing,National Careers Service,2026-08-15
